run_id,match_id,table_size,hand_id,decision_id,player,profile,stage,pot_size,to_call,player_chips,chosen_action,bet_amount,response_time_ms,history_window_size,used_opponent_stats,used_fallback,reason
20260408T102956Z,match_001_baseline_vs_weak_ai,2,1,1,baseline,baseline,PreFlop,40,10,980,Call,0,0.039,0,False,False,"Baseline heuristic using preflop strength=0.80, pressure=0.01, opponents=1."
20260408T102956Z,match_001_baseline_vs_weak_ai,2,1,2,weak_ai,weak_ai,PreFlop,70,0,950,Raise,30,3527.138,3,False,False,I am a conservative bot with short memory. The pot is relatively small and I have King-8. Raising to 30 is within my raise range and doesn't risk too much given the lack of board information.
20260408T102956Z,match_001_baseline_vs_weak_ai,2,1,3,baseline,baseline,PreFlop,100,30,950,Call,0,0.026,0,False,False,"Baseline heuristic using preflop strength=0.80, pressure=0.03, opponents=1."
20260408T102956Z,match_001_baseline_vs_weak_ai,2,1,4,weak_ai,weak_ai,Flop,140,0,910,Raise,40,2171.461,3,False,False,"I have King and an 8 on the board, which makes my hand strong. I should raise to build the pot."
20260408T102956Z,match_001_baseline_vs_weak_ai,2,1,5,baseline,baseline,Flop,180,40,910,Call,0,0.08,0,False,False,"Baseline heuristic using High Card strength=0.87, pressure=0.04, opponents=1."
20260408T102956Z,match_001_baseline_vs_weak_ai,2,1,6,weak_ai,weak_ai,Turn,245,0,845,Raise,65,2936.003,3,False,False,The board is fairly coordinated and I have a King and an Eight. I've already raised twice on this street and want to maintain some pressure without going too crazy. The raise range is 20-135.
20260408T102956Z,match_001_baseline_vs_weak_ai,2,1,7,baseline,baseline,Turn,310,65,845,Call,0,0.076,0,False,False,"Baseline heuristic using High Card strength=0.87, pressure=0.07, opponents=1."
20260408T102956Z,match_001_baseline_vs_weak_ai,2,1,8,weak_ai,weak_ai,River,542,0,613,Raise,232,2771.49,3,False,False,Baseline has called all previous raises and is showing no signs of folding. I am a short memory bot and focusing on current street. Increasing the bet to maximize value given the board texture.
20260408T102956Z,match_001_baseline_vs_weak_ai,2,1,9,baseline,baseline,River,542,232,845,Fold,0,0.265,0,False,False,"Baseline heuristic using High Card strength=0.87, pressure=0.22, opponents=1."
20260408T102956Z,match_001_baseline_vs_weak_ai,2,2,1,weak_ai,weak_ai,PreFlop,70,10,950,Raise,30,2589.362,3,False,False,"I have 2 of Hearts, King of Clubs and the pot is only 30. I will raise to 30 to take control of the pot."
20260408T102956Z,match_001_baseline_vs_weak_ai,2,2,2,baseline,baseline,PreFlop,160,30,890,Raise,60,0.04,0,False,False,"Baseline heuristic using preflop strength=1.00, pressure=0.03, opponents=1."
20260408T102956Z,match_001_baseline_vs_weak_ai,2,2,3,weak_ai,weak_ai,PreFlop,260,60,850,Raise,40,2873.994,3,False,False,"I need to increase my stack and put pressure on the opponent given that I have a decent hand (22) and they've already raised. My short memory profile suggests avoiding large bluffs, so a moderate raise is appropriate."
20260408T102956Z,match_001_baseline_vs_weak_ai,2,2,4,baseline,baseline,PreFlop,360,40,790,Raise,60,0.047,0,False,False,"Baseline heuristic using preflop strength=1.00, pressure=0.04, opponents=1."
20260408T102956Z,match_001_baseline_vs_weak_ai,2,2,5,weak_ai,weak_ai,PreFlop,460,60,750,Raise,40,2593.961,3,False,False,I am a short-memory bot and I want to increase my stack. The pot is already relatively large and I have been raising consistently. Raising 40 fits within the allowed range.
