run_id,match_id,table_size,hand_id,decision_id,player,profile,stage,pot_size,to_call,player_chips,chosen_action,bet_amount,response_time_ms,history_window_size,used_opponent_stats,used_fallback,reason
20260409T015602Z,match_001_baseline_vs_weak_ai,2,1,1,baseline,baseline,PreFlop,40,10,980,Call,0,0.054,0,False,False,"Baseline heuristic using preflop strength=0.80, pressure=0.01, opponents=1."
20260409T015602Z,match_001_baseline_vs_weak_ai,2,1,2,weak_ai,weak_ai,PreFlop,40,0,980,Check,0,7712.131,3,False,True,"LLM request failed, fallback used. Connection error."
20260409T015602Z,match_001_baseline_vs_weak_ai,2,1,3,weak_ai,weak_ai,Flop,40,0,980,Check,0,7331.435,3,False,True,"LLM request failed, fallback used. Connection error."
20260409T015602Z,match_001_baseline_vs_weak_ai,2,1,4,baseline,baseline,Flop,40,0,980,Check,0,0.047,0,False,False,"Baseline heuristic using High Card strength=0.87, pressure=0.00, opponents=1."
20260409T015602Z,match_001_baseline_vs_weak_ai,2,1,5,weak_ai,weak_ai,Turn,40,0,980,Check,0,7438.613,3,False,True,"LLM request failed, fallback used. Connection error."
20260409T015602Z,match_001_baseline_vs_weak_ai,2,1,6,baseline,baseline,Turn,40,0,980,Check,0,0.07,0,False,False,"Baseline heuristic using High Card strength=0.87, pressure=0.00, opponents=1."
20260409T015602Z,match_001_baseline_vs_weak_ai,2,1,7,weak_ai,weak_ai,River,40,0,980,Check,0,7484.121,3,False,True,"LLM request failed, fallback used. Connection error."
20260409T015602Z,match_001_baseline_vs_weak_ai,2,1,8,baseline,baseline,River,40,0,980,Check,0,0.12,0,False,False,"Baseline heuristic using High Card strength=0.87, pressure=0.00, opponents=1."
20260409T015602Z,match_001_baseline_vs_weak_ai,2,2,1,weak_ai,weak_ai,PreFlop,40,10,980,Call,0,7493.164,3,False,True,"LLM request failed, fallback used. Connection error."
20260409T015602Z,match_001_baseline_vs_weak_ai,2,2,2,baseline,baseline,PreFlop,80,0,940,Raise,40,0.028,0,False,False,"Baseline heuristic using preflop strength=1.00, pressure=0.00, opponents=1."
20260409T015602Z,match_001_baseline_vs_weak_ai,2,2,3,weak_ai,weak_ai,PreFlop,120,40,940,Call,0,7537.604,3,False,True,"LLM request failed, fallback used. Connection error."
20260409T015602Z,match_001_baseline_vs_weak_ai,2,2,4,baseline,baseline,Flop,120,0,940,Check,0,0.087,0,False,False,"Baseline heuristic using High Card strength=0.90, pressure=0.00, opponents=1."
20260409T015602Z,match_001_baseline_vs_weak_ai,2,2,5,weak_ai,weak_ai,Flop,120,0,940,Check,0,6867.451,3,False,True,"LLM request failed, fallback used. Error code: 400 - {'error': {'message': ""No models loaded. Please load a model in the developer page or use the 'lms load' command."", 'type': 'invalid_request_error', 'param': 'model', 'code': None}}"
20260409T015602Z,match_001_baseline_vs_weak_ai,2,2,6,baseline,baseline,Turn,120,0,940,Check,0,0.152,0,False,False,"Baseline heuristic using High Card strength=0.90, pressure=0.00, opponents=1."
20260409T015602Z,match_001_baseline_vs_weak_ai,2,2,7,weak_ai,weak_ai,Turn,120,0,940,Check,0,9.588,3,False,True,"LLM request failed, fallback used. Error code: 400 - {'error': {'message': ""No models loaded. Please load a model in the developer page or use the 'lms load' command."", 'type': 'invalid_request_error', 'param': 'model', 'code': None}}"
20260409T015602Z,match_001_baseline_vs_weak_ai,2,2,8,baseline,baseline,River,120,0,940,Check,0,0.255,0,False,False,"Baseline heuristic using High Card strength=0.90, pressure=0.00, opponents=1."
20260409T015602Z,match_001_baseline_vs_weak_ai,2,2,9,weak_ai,weak_ai,River,120,0,940,Check,0,7.587,3,False,True,"LLM request failed, fallback used. Error code: 400 - {'error': {'message': ""No models loaded. Please load a model in the developer page or use the 'lms load' command."", 'type': 'invalid_request_error', 'param': 'model', 'code': None}}"
20260409T015602Z,match_001_baseline_vs_weak_ai,2,3,1,baseline,baseline,PreFlop,40,10,980,Call,0,0.067,0,False,False,"Baseline heuristic using preflop strength=0.53, pressure=0.01, opponents=1."
20260409T015602Z,match_001_baseline_vs_weak_ai,2,3,2,weak_ai,weak_ai,PreFlop,40,0,980,Check,0,10.682,3,False,True,"LLM request failed, fallback used. Error code: 400 - {'error': {'message': ""No models loaded. Please load a model in the developer page or use the 'lms load' command."", 'type': 'invalid_request_error', 'param': 'model', 'code': None}}"
20260409T015602Z,match_001_baseline_vs_weak_ai,2,3,3,weak_ai,weak_ai,Flop,40,0,980,Check,0,11.957,3,False,True,"LLM request failed, fallback used. Error code: 400 - {'error': {'message': ""No models loaded. Please load a model in the developer page or use the 'lms load' command."", 'type': 'invalid_request_error', 'param': 'model', 'code': None}}"
20260409T015602Z,match_001_baseline_vs_weak_ai,2,3,4,baseline,baseline,Flop,40,0,980,Check,0,0.092,0,False,False,"Baseline heuristic using Two Pair strength=0.58, pressure=0.00, opponents=1."
20260409T015602Z,match_001_baseline_vs_weak_ai,2,3,5,weak_ai,weak_ai,Turn,40,0,980,Check,0,9.696,3,False,True,"LLM request failed, fallback used. Error code: 400 - {'error': {'message': ""No models loaded. Please load a model in the developer page or use the 'lms load' command."", 'type': 'invalid_request_error', 'param': 'model', 'code': None}}"
20260409T015602Z,match_001_baseline_vs_weak_ai,2,3,6,baseline,baseline,Turn,40,0,980,Check,0,0.163,0,False,False,"Baseline heuristic using Two Pair strength=0.58, pressure=0.00, opponents=1."
20260409T015602Z,match_001_baseline_vs_weak_ai,2,3,7,weak_ai,weak_ai,River,40,0,980,Check,0,11.356,3,False,True,"LLM request failed, fallback used. Error code: 400 - {'error': {'message': ""No models loaded. Please load a model in the developer page or use the 'lms load' command."", 'type': 'invalid_request_error', 'param': 'model', 'code': None}}"
20260409T015602Z,match_001_baseline_vs_weak_ai,2,3,8,baseline,baseline,River,40,0,980,Check,0,0.267,0,False,False,"Baseline heuristic using Two Pair strength=0.58, pressure=0.00, opponents=1."
20260409T015602Z,match_001_baseline_vs_weak_ai,2,4,1,weak_ai,weak_ai,PreFlop,40,10,980,Call,0,7.294,3,False,True,"LLM request failed, fallback used. Error code: 400 - {'error': {'message': ""No models loaded. Please load a model in the developer page or use the 'lms load' command."", 'type': 'invalid_request_error', 'param': 'model', 'code': None}}"
